Date,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2016-09-14,Soldiers kill 7 cattle rustlers,9/14/2016,Dumburum forest,Zurmi,Zamfara,7.0,,State Actor,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,Other,,http://sunnewsonline.com/soldiers-kill-4-boko-haram-terrorists-7-cattle-rustlers/,,,12.78777027,6.773849964,"Zurmi, Zamfara, Nigeria"
2016-09-23,"Troops kill 2 cattle rustlers, recover 7 cows, 1 car",9/23/2016,,Gusau,Zamfara,2.0,,State Actor,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Other,Also Zurmi LGA,http://www.vanguardngr.com/2016/09/troops-kill-2-cattle-rustlers-recover-7-cows-1-car/,,,12.17327976,6.666550159,"Gusau, Zamfara, Nigeria"
2016-10-18,Troops gun down 4 cattle rustlers,10/18/2016,Masafa,Talata Mafara,Zamfara,4.0,,State Actor,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/213170-troops-gun-4-cattle-rustlers-arrest-3-kidnappers.html,,,12.5649004,6.066579819,"Talata Mafara, Zamfara, Nigeria"
2016-10-26,Gunmen kidnap LG vice chairman in Zamfara,10/26/2016,,Anka,Zamfara,0.0,,,,,Kidnapper,,,,,,,,,,,1.0,,,,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2016/10/26/gunmen-kidnap-lg-vice-chairman-zamfara/,,,12.11058044,5.93061018,"Anka, Zamfara, Nigeria"
2016-11-07,Gunmen kill 40 gold miners in northern Nigeria,11/7/2016,Gidan Ardo,Maru,Zamfara,40.0,,,,Other Armed Actor,,,,,,,,,,,,,,,40.0,,,,Gun,,,,,,,,,,,Other,suspected cattle rustlers,http://af.reuters.com/article/nigeriaNews/idAFL8N1D983Z?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/headlines/214773-gunmen-killed-40-people-zamfara-residents.html,http://sunnewsonline.com/gunmen-kill-over-40-miners-in-zamfara/,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-11-18,Armed bandits kill 29 in Zamfara,11/18/2016,,Maradun,Zamfara,29.0,,,,,,Robber,,,,,,,,,,,,,29.0,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/armed-bandits-kill-31-kidnap-40-in-zamfara/,http://news2.onlinenigeria.com/news/general/564856-bandits-kill-25-in-zamfara-fresh-attack.html,,12.552363,6.16284,"Maradun, Zamfara, Nigeria"
2016-11-18,"Armed bandits kill 6, kidnap 40 in Zamfara",11/18/2016,,Maru,Zamfara,6.0,,,,,,Robber,,,,,2.0,,,,,40.0,,,4.0,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/armed-bandits-kill-31-kidnap-40-in-zamfara/,http://www.premiumtimesng.com/news/headlines/215792-tragedy-two-weeks-killing-40-people-gunmen-kidnap-another-40.html,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-11-19,"Zamfara: Bandits kill 2 policemen, 23 others in fresh attack",11/19/2016,"Dole, Tudun Bugaje and Kwangwami ",Zurmi,Zamfara,25.0,,,,,,Robber,,,,,2.0,,,,,,,,23.0,,,,,,,,,,,,,,,Other,,http://sunnewsonline.com/zamfara-bandits-kill-2-policemen-7-others-in-fresh-attack/,,,12.78777027,6.773849964,"Zurmi, Zamfara, Nigeria"
2017-01-26,One confirmed dead as gunmen storm Zamfara community,1/26/2017,Magazu ,,Zamfara,1.0,,,Sectarian Actor,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,http://www.premiumtimesng.com/news/headlines/221770-one-confirmed-dead-gunmen-storm-zamfara-community.html,,,11.9116,6.95385,", Zamfara, Nigeria"
2017-02-08,"Gunmen invade another Zamfara community, kill three",2/8/2017,Rungumawa,Chafe,Zamfara,3.0,,,,,,Robber,,,,,,,,,,,,,3.0,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/223075-gunmen-invade-another-zamfara-community-kill-three.html,,,11.95862007,6.918039799,"Chafe, Zamfara, Nigeria"
